product_id,title,description
urllib3,urllib3,"HTTP library with thread-safe connection pooling, file post, and more."
requests,requests,Python HTTP for Humans.
idna,idna,Internationalized Domain Names in Applications (IDNA)
google-api-core,google-api-core,Google API client core library
google-auth,google-auth,Google Authentication Library
yarl,yarl,Yet another URL library
google-cloud-bigquery,google-cloud-bigquery,Google BigQuery API client library
google-cloud-core,google-cloud-core,Google Cloud API client core library
isodate,isodate,An ISO 8601 date/time/duration parser and formatter
aiohttp,aiohttp,Async http client/server framework (asyncio)
google-cloud-storage,google-cloud-storage,Google Cloud Storage API client library
soupsieve,soupsieve,A modern CSS selector implementation for Beautiful Soup.
google-resumable-media,google-resumable-media,Utilities for Google Media Downloads and Resumable Uploads
filelock,filelock,A platform independent file lock.
websocket-client,websocket-client,WebSocket client for Python with low level API options
google-auth-oauthlib,google-auth-oauthlib,Google Authentication Library
google-cloud-pubsub,google-cloud-pubsub,Google Cloud Pub/Sub API client library
pydantic,pydantic,Data validation using Python type hints
google-api-python-client,google-api-python-client,Google API Client Library for Python
httplib2,httplib2,A comprehensive HTTP client library.
paramiko,paramiko,SSH2 protocol library
gunicorn,gunicorn,WSGI HTTP Server for UNIX
mako,Mako,A super-fast templating language that borrows the best ideas from the existing templating languages.
google-cloud-bigquery-storage,google-cloud-bigquery-storage,Google Cloud Bigquery Storage API client library
google-cloud-dlp,google-cloud-dlp,Google Cloud Dlp API client library
h11,h11,"A pure-Python, bring-your-own-I/O implementation of HTTP/1.1"
markdown,Markdown,Python implementation of John Gruber's Markdown.
google-cloud-bigtable,google-cloud-bigtable,Google Cloud Bigtable API client library
dnspython,dnspython,DNS toolkit
pandas-gbq,pandas-gbq,Google BigQuery connector for pandas
emoji,emoji,Emoji for Python
grpc-google-iam-v1,grpc-google-iam-v1,IAM API client library
backoff,backoff,Function decoration for backoff and retry
google-cloud-datastore,google-cloud-datastore,Google Cloud Datastore API client library
requests-aws4auth,requests-aws4auth,AWS4 authentication for Requests
google-cloud-secret-manager,google-cloud-secret-manager,Google Cloud Secret Manager API client library
cachecontrol,CacheControl,httplib2 caching for requests
asgiref,asgiref,"ASGI specs, helper code, and adapters"
httpx,httpx,The next generation HTTP client.
httpcore,httpcore,A minimal low-level HTTP client.
google-cloud-logging,google-cloud-logging,Stackdriver Logging API client library
starlette,starlette,The little ASGI library that shines.
django,Django,"A high-level Python web framework that encourages rapid development and clean, pragmatic design."
discord-webhook,discord-webhook,Easily send Discord webhooks with Python
snowballstemmer,snowballstemmer,This package provides 32 stemmers for 30 languages generated from Snowball algorithms.
fastapi,fastapi,"FastAPI framework, high performance, easy to learn, fast to code, ready for production"
uvicorn,uvicorn,The lightning-fast ASGI server.
sphinx,Sphinx,Python documentation generator
gevent,gevent,Coroutine-based network library
ua-parser,ua-parser,Python port of Browserscope's user agent parser
authlib,Authlib,The ultimate Python library in building OAuth and OpenID Connect servers and clients.
djangorestframework,djangorestframework,"Web APIs for Django, made easy."
flask-wtf,Flask-WTF,"Form rendering, validation, and CSRF protection for Flask with WTForms."
aws-sam-translator,aws-sam-translator,AWS SAM Translator is a library that transform SAM templates into AWS CloudFormation templates
google-cloud-pubsublite,google-cloud-pubsublite,Google Cloud Pubsublite API client library
sqlalchemy-utils,SQLAlchemy-Utils,Various utility functions for SQLAlchemy.
jira,jira,Python library for interacting with JIRA via REST APIs.
google-cloud-spanner,google-cloud-spanner,Google Cloud Spanner API client library
maxminddb,maxminddb,Reader for the MaxMind DB format
google-cloud-appengine-logging,google-cloud-appengine-logging,Google Cloud Appengine Logging API client library
google-cloud-language,google-cloud-language,Google Cloud Language API client library
geoip2,geoip2,MaxMind GeoIP2 API
connexion,connexion,Connexion - API first applications with OpenAPI/Swagger
pika,pika,Pika Python AMQP Client Library
google-cloud-firestore,google-cloud-firestore,Google Cloud Firestore API client library
python-snappy,python-snappy,Python library for the snappy compression library from Google
flask-caching,Flask-Caching,Adds caching support to Flask applications.
flask-babel,flask-babel,Adds i18n/l10n support for Flask applications.
waitress,waitress,Waitress WSGI server
tld,tld,Extract the top-level domain (TLD) from the URL given.
w3lib,w3lib,Library of web-related functions
flask-compress,Flask-Compress,"Compress responses in your Flask app with gzip, deflate, brotli or zstandard."
